Bit#|T|??|?|MaxValue|Name|Note
03A8|3|00|0|00000001||
03A9|3|00|0|00000001||
03AA|2|00|0|00000001||
03AB|3|00|0|00000001||
03AC|3|00|0|00000001||
03AD|3|00|0|FFFFFFFF||
03AE|2|00|0|00000001||
03AF|3|00|0|00000001||
03B0|3|00|0|00000001|Envfx03B0|related to envfx
03B1|1|00|0|00000001||
03B2|1|00|0|00000001||
03B3|1|00|0|00000001||
03B4|1|00|0|00000001||
03B5|1|00|0|00000001||
03B6|1|00|0|00000001||
03B7|3|00|0|FFFFFFFF||
03B8|2|00|0|00000001||
03B9|1|00|0|00000001||
03BA|2|00|0|00000001||
03BB|1|00|0|00000001||
03BC|1|00|0|00000001||
03BD|1|00|0|00000001||
03BE|1|00|0|00000001||
03BF|1|00|0|00000001||
03C0|1|00|0|00000001||
03C1|0|00|0|00000001||
03C2|2|00|0|00000001||
03C3|0|00|0|00000001||
03C4|1|00|0|00000001||
03C5|1|00|0|00000001||
03C6|1|00|0|00000001||
03C7|1|00|0|00000001||
03C8|1|00|0|00000001||
03C9|1|00|0|00000001||
03CA|1|00|0|00000007||
03CB|1|00|0|00000001||
03CC|1|00|0|00000001||
03CD|1|00|0|00000001||
03CE|1|00|0|00000001||
03CF|2|2A|1|00000001||
03D0|0|00|0|00000001||
03D1|1|00|0|00000001||
03D2|0|00|0|00000001||
03D3|2|00|0|00000001||
03D4|2|00|0|00000001||
03D5|2|00|0|00000001||
03D6|2|00|0|00000001||
03D7|2|00|0|00000001||
03D8|0|00|0|00000001||
03D9|1|00|0|00000001||
03DA|1|00|0|00000001||
03DB|1|00|0|00000001||
03DC|0|00|0|00000001||
03DD|2|00|0|00000001||
03DE|2|00|0|00000001||
03DF|2|00|0|00000001||
03E0|3|00|0|FFFFFFFF||
03E1|1|00|0|00000001||
03E2|0|00|0|00000001||
03E3|0|00|0|00000001|SnowHorn03E3|related to riding SnowHorn
03E4|2|00|0|00000001||
03E5|2|00|0|00000001||
03E6|2|00|0|00000001||
03E7|2|00|0|00000001||
03E8|0|00|0|00000001||
03E9|0|00|0|00000001||
03EA|2|00|0|00000001||
03EB|2|00|0|00000001||
03EC|1|00|0|00000001||
03ED|2|00|0|00000001||
03EE|1|00|0|0000000F||
03EF|2|00|0|00000001||
03F0|2|00|0|00000007||
03F1|0|00|0|00000001||
03F2|1|00|0|00000001||
03F3|1|00|0|00000001||
03F4|2|4B|1|00000001||
03F5|2|00|0|000000FF|NumFuelCells|
03F6|0|00|0|00000001||
03F7|0|00|0|00000001||
03F8|2|00|0|00000001||
03F9|2|24|1|00000001|WorldMapDarkIce|unlocked DarkIce Mines on world map
03FA|2|4F|1|00000001|WorldMapCloudFort|unlocked CloudRunner Fortress on world map
03FB|2|73|1|00000001|WorldMapWallCity|unlocked Walled City on world map
03FC|2|8C|1|00000001|WorldMapDragRock|unlocked Dragon Rock on world map
03FD|2|00|0|00000001||
03FE|1|00|0|00000001||
03FF|1|00|0|00000001||
0400|1|00|0|00000001||
0401|1|00|0|00000001||
0402|1|00|0|00000001||
0403|1|00|0|00000001||
0404|1|00|0|00000001||
0405|3|00|0|FFFFFFFF||
0406|1|00|0|00000001||
0407|1|00|0|00000001||
0408|1|00|0|00000001||
0409|0|00|0|00000001||
040A|2|00|0|00000001||
040B|2|00|0|00000001||
040C|1|00|0|00000001||
040D|1|00|0|00000001||
040E|1|00|0|00000001||
040F|2|00|0|00000001||
0410|2|00|0|00000001||
0411|1|00|0|00000001||
0412|1|00|0|00000001||
0413|1|00|0|00000001||
0414|1|00|0|00000001||
0415|1|00|0|00000001||
0416|2|00|0|00000001||
0417|2|00|0|00000001||
0418|2|00|0|00000001||
0419|2|00|0|00000001||
041A|2|00|0|00000001||
041B|2|00|0|00000001||
041C|2|00|0|00000001||
041D|2|00|0|00000001||
041E|2|00|0|00000001||
041F|1|00|0|00000001||
0420|1|00|0|00000001||
0421|3|00|0|FFFFFFFF||
0422|1|00|0|00000001||
0423|1|00|0|00000001||
0424|1|00|0|00000001||
0425|1|00|0|00000001||
0426|1|00|0|00000001||
0427|1|00|0|00000001||
0428|1|00|0|0000000F||
0429|2|00|0|00000001||
042A|1|00|0|00000001||
042B|0|00|0|00000001||
042C|2|00|0|00000001||
042D|0|00|0|00000001||
042E|3|00|0|FFFFFFFF||
042F|0|00|0|00000001||
0430|0|00|0|00000001||
0431|1|00|0|00000001||
0432|1|00|0|00000001||
0433|1|00|0|00000001||
0434|2|00|0|00000001||
0435|1|00|0|00000001||
0436|1|00|0|00000001||
0437|1|00|0|00000001||
0438|1|00|0|00000001||
0439|1|00|0|00000001||
043A|1|00|0|00000001||
043B|1|00|0|00000001||
043C|1|00|0|00000001||
043D|1|00|0|00000001||
043E|1|00|0|00000001||
043F|1|00|0|00000001||
0440|1|00|0|00000001||
0441|1|00|0|00000001||
0442|0|00|0|00000001||
0443|3|00|0|FFFFFFFF||
0444|1|00|0|00000001||
0445|0|00|0|00000001||
0446|0|00|0|00000001||
0447|2|00|0|00000001||
0448|0|00|0|00000001||
0449|2|00|0|00000001||
044A|2|00|0|00000001||
044B|1|00|0|00000001||
044C|1|00|0|00000001||
044D|1|00|0|00000001||
044E|1|00|0|00000001||
044F|0|00|0|00000001||
0450|1|00|0|00000001||
0451|0|00|0|00000001||
0452|3|00|0|FFFFFFFF||
0453|2|37|1|00000001||
0454|1|00|0|00000001||
0455|1|00|0|00000001||
0456|2|00|0|00000001||
0457|2|00|0|00000001||
0458|3|00|0|FFFFFFFF||
0459|0|00|0|00000001||
045A|3|00|0|FFFFFFFF||
045B|1|00|0|00000001||
045C|2|00|0|00000001||
045D|2|00|0|00000001||
045E|2|00|0|00000001||
045F|2|00|0|00000001||
0460|2|00|0|00000001||
0461|2|00|0|00000001||
0462|2|00|0|00000001||
0463|2|00|0|00000001||
0464|2|00|0|00000001||
0465|2|00|0|00000001||
0466|0|00|0|00000001||
0467|0|00|0|00000001||
0468|0|00|0|00000001||
0469|0|00|0|00000001||
046A|0|00|0|00000001||
046B|1|00|0|00000001||
046C|1|00|0|00000001||
046D|2|00|0|0000000F||
046E|3|00|0|0000FFFF||
046F|0|00|0|00000001||
0470|0|00|0|00000001||
0471|0|00|0|00000001||
0472|0|00|0|00000001||
0473|3|00|0|FFFFFFFF||
0474|0|00|0|00000001||
0475|1|00|0|00000001||
0476|1|00|0|00000001||
0477|1|00|0|00000001||
0478|0|00|0|00000001||
0479|0|00|0|00000001||
047A|2|00|0|00000001||
047B|3|00|0|FFFFFFFF||
047C|3|00|0|FFFFFFFF||
047D|0|00|0|00000001||
047E|1|00|0|00000001||
047F|1|00|0|00000001||
0480|3|00|0|FFFFFFFF||
0481|0|00|0|00000001||
0482|0|00|0|00000001||
0483|0|00|0|00000001||
0484|2|00|0|00000001||
0485|2|00|0|00000001||
0486|2|00|0|00000001||
0487|2|00|0|00000001||
0488|1|00|0|000000FF||
0489|2|00|0|00000001||
048A|2|00|0|00000001||
048B|2|00|0|0000000F||
048C|2|00|0|00000001||
048D|2|00|0|00000001||
048E|2|00|0|00000001||
048F|2|00|0|00000001||
0490|2|00|0|00000001||
0491|2|00|0|00000001||
0492|1|00|0|0000000F||
0493|3|00|0|FFFFFFFF||
0494|2|00|0|00000001||
0495|2|00|0|00000001||
0496|2|00|0|00000001||
0497|1|00|0|00000001||
0498|1|00|0|00000001||
0499|1|00|0|00000001||
049A|1|00|0|00000001||
049B|1|57|1|00000001||
049C|1|00|0|00000001||
049D|1|00|0|00000001||
049E|1|00|0|00000001||
049F|1|00|0|00000001||
04A0|1|00|0|00000001||
04A1|0|00|0|00000001||
04A2|0|00|0|00000001||
04A3|3|00|0|FFFFFFFF||
04A4|1|00|0|00000001||
04A5|1|00|0|00000001||
04A6|3|00|0|FFFFFFFF||
04A7|0|00|0|00000001||
04A8|2|00|0|00000001||
04A9|1|00|0|00000001||
04AA|1|00|0|00000001||
04AB|1|00|0|00000001||
04AC|2|00|0|00000001||
04AD|1|00|0|00000001||
04AE|3|00|0|FFFFFFFF||
04AF|1|00|0|00000001||
04B0|0|00|0|00000001||
04B1|2|00|0|00000001||
04B2|2|00|0|00000001||
04B3|1|00|0|00000001||
04B4|1|00|0|00000001||
04B5|1|00|0|00000001||
04B6|1|00|0|00000001||
04B7|1|00|0|00000001||
04B8|1|00|0|00000001||
04B9|0|00|0|00000001||
04BA|1|00|0|00000001||
04BB|0|00|0|00000001||
04BC|0|00|0|00000001||
04BD|0|00|0|00000001||
04BE|1|00|0|00000001||
04BF|1|00|0|00000001||
04C0|2|00|0|00000001||
04C1|2|00|0|00000001||
04C2|1|00|0|00000001||
04C3|1|00|0|00000001||
04C4|1|00|0|00000001||
04C5|1|00|0|00000001||
04C6|1|00|0|00000001||
04C7|1|00|0|00000001||
04C8|1|00|0|00000001||
04C9|1|00|0|00000001||
04CA|1|00|0|00000001||
04CB|1|00|0|00000001||
04CC|1|00|0|00000001||
04CD|1|00|0|00000001||
04CE|1|00|0|00000003||
04CF|1|00|0|00000001||
04D0|2|00|0|00000001||
04D1|0|00|0|00000001||
04D2|2|00|0|00000001||
04D3|2|00|0|00000001||
04D4|2|00|0|00000001||
04D5|2|00|0|00000001||
04D6|2|00|0|00000001||
04D7|2|00|0|00000001||
04D8|2|00|0|00000001||
04D9|2|00|0|00000001||
04DA|1|00|0|00000001||
04DB|1|00|0|00000001||
04DC|1|00|0|00000001||
04DD|1|00|0|00000001||
04DE|1|00|0|00000001||
04DF|1|00|0|00000001||
04E0|1|00|0|00000001||
04E1|2|00|0|00000001||
04E2|3|00|0|0000FFFF||
04E3|0|00|0|000000FF|TrickyTalk|if < FF, can talk to Tricky, but he won't say anything
04E4|2|00|0|00000001|CanUseTricky|can use Tricky commands
04E5|2|00|0|00000001||
04E6|1|00|0|00000001||
04E7|2|00|0|00000001||
04E8|2|00|0|00000001||
04E9|2|3D|1|00000001||
04EA|2|00|0|00000001||
04EB|2|00|0|00000001||
04EC|2|00|0|00000001||
04ED|2|00|0|00000001||
04EE|2|00|0|00000001||
04EF|2|00|0|00000001||
04F0|3|00|0|00000001||
04F1|2|00|0|00000001||
04F2|2|00|0|00000001||
04F3|3|00|0|00000001||
04F4|2|00|0|00000001||
04F5|2|00|0|00000001||
04F6|2|00|0|00000001||
04F7|2|00|0|00000001||
04F8|2|00|0|00000001||
04F9|2|00|0|00000001||
04FA|2|80|1|00000001||
04FB|2|00|0|00000001||
04FC|2|00|0|00000001||
04FD|2|00|0|00000001||
04FE|2|00|0|0000000F||
04FF|2|00|0|00000001||
0500|3|00|0|FFFFFFFF||
0501|2|00|0|00000001||
0502|1|00|0|00000001||
0503|2|00|0|00000001||
0504|2|00|0|00000001||
0505|2|00|0|00000001||
0506|2|00|0|00000001||
0507|2|00|0|00000001||
0508|2|00|0|00000001||
0509|2|00|0|00000001||
050A|2|00|0|00000001||
050B|1|00|0|00000001||
050C|1|00|0|00000001||
050D|1|00|0|00000001||
050E|1|00|0|00000001||
050F|1|00|0|00000001||
0510|2|00|0|00000001||
0511|2|00|0|00000001||
0512|2|00|0|00000001||
0513|2|00|0|00000001||
0514|2|00|0|00000001||
0515|2|00|0|00000001||
0516|2|00|0|00000001||
0517|3|00|0|FFFFFFFF||
0518|0|00|0|00000001||
0519|0|00|0|00000001||
051A|0|00|0|00000001||
051B|0|00|0|00000001||
051C|0|00|0|00000001||
051D|2|00|0|00000001||
051E|3|00|0|00000001||
051F|0|00|0|00000001||
0520|0|00|0|00000001||
0521|2|00|0|00000001||
0522|2|00|0|00000001||
0523|2|00|0|00000001||
0524|1|00|0|00000001||
0525|1|00|0|00000001||
0526|1|00|0|00000001||
0527|1|00|0|00000001||
0528|1|00|0|00000001||
0529|1|00|0|00000001||
052A|1|00|0|00000001||
052B|1|00|0|00000001||
052C|1|00|0|00000001||
052D|2|00|0|00000001||
052E|2|00|0|00000001||
052F|2|00|0|00000001||
0530|2|00|0|00000001||
0531|2|00|0|00000001||
0532|2|00|0|00000001||
0533|2|00|0|00000001||
0534|2|00|0|00000001||
0535|2|00|0|00000001||
0536|2|00|0|00000001||
0537|0|00|0|00000001||
0538|0|00|0|00000001||
0539|0|00|0|00000001||
053A|2|00|0|00000001||
053B|1|00|0|00000001||
053C|1|00|0|00000001||
053D|1|00|0|00000001||
053E|1|00|0|00000001||
053F|1|00|0|00000001||
0540|1|00|0|00000001||
0541|1|00|0|00000001||
0542|1|00|0|00000001||
0543|2|00|0|00000001||
0544|2|13|1|00000001||
0545|2|00|0|00000001||
0546|2|00|0|00000001||
0547|1|00|0|0000000F||
0548|3|00|0|FFFFFFFF||
0549|1|00|0|00000001||
054A|0|00|0|00000003||
054B|0|00|0|00000001||
054C|0|00|0|00000001||
054D|0|00|0|00000001||
054E|0|00|0|00000003||
054F|0|00|0|00000001||
0550|0|00|0|00000001||
0551|0|00|0|00000001||
0552|0|00|0|00000003||
0553|0|00|0|00000001||
0554|0|00|0|00000001||
0555|0|00|0|00000001||
0556|0|00|0|00000003||
0557|0|00|0|00000001||
0558|0|00|0|00000001||
0559|0|00|0|00000001||
055A|0|00|0|00000001||
055B|0|00|0|00000001||
055C|0|00|0|00000001||
055D|0|00|0|00000001||
055E|0|00|0|00000001||
055F|0|00|0|00000001||
0560|0|00|0|00000001||
0561|0|00|0|00000001||
0562|0|00|0|00000001||
0563|0|00|0|00000001||
0564|2|00|0|00000001||
0565|0|00|0|00000001||
0566|0|00|0|00000001||
0567|0|00|0|00000001||
0568|0|00|0|00000001||
0569|0|00|0|00000001||
056A|0|00|0|0000000F||
056B|0|00|0|0000000F||
056C|0|00|0|0000000F||
056D|0|00|0|0000000F||
056E|1|00|0|00000001||
056F|1|00|0|00000001||
0570|1|00|0|00000001||
0571|1|00|0|00000001||
0572|1|00|0|0000000F||
0573|1|00|0|00000001||
0574|1|00|0|00000001||
0575|1|00|0|00000001||
0576|2|00|0|00000007||
0577|1|00|0|00000001||
0578|2|00|0|00000007||
0579|2|00|0|00000001||
057A|2|00|0|00000001||
057B|0|00|0|00000001||
057C|0|00|0|00000001||
057D|0|00|0|00000001||
057E|2|00|0|00000001||
057F|0|00|0|00000001||
0580|1|00|0|00000001||
0581|0|00|0|0000003F||
0582|1|00|0|00000001||
0583|2|00|0|00000001||
0584|1|00|0|00000001||
0585|1|00|0|00000001||
0586|1|00|0|00000001||
0587|2|00|0|00000001||
0588|2|00|0|00000001||
0589|0|00|0|00000001||
058A|0|00|0|00000001||
058B|2|00|0|00000001||
058C|0|00|0|00000001||
058D|0|00|0|00000001|NoMapData|Force No Map Data
058E|0|00|0|00000001||
058F|0|00|0|00000001||
0590|0|00|0|00000001||
0591|0|00|0|00000001||
0592|0|00|0|00000001||
0593|0|00|0|00000001||
0594|0|00|0|00000001||
0595|0|00|0|00000001||
0596|0|00|0|00000001||
0597|0|00|0|00000001||
0598|0|00|0|00000001||
0599|0|00|0|00000001||
059A|0|00|0|00000001||
059B|0|00|0|00000001||
059C|0|00|0|00000001||
059D|2|00|0|00000001|HaveVolcanoMap|Have Volcano Force Point Map
059E|2|00|0|00000001|HaveDarkIceMap|Have DarkIce Mines Map
059F|0|00|0|00000001||
05A0|2|00|0|00000001|HaveSnowWastesMap|Have SnowHorn Wastes Map
05A1|2|00|0|00000001|HaveCloudFortMap|Have CloudRunner Fortress Map
05A2|2|00|0|00000001|HaveLightFootMap|Have LightFoot Village Map
05A3|2|00|0|00000001|HaveHollowMap|Have ThornTail Hollow Map
05A4|2|00|0|00000001||
05A5|0|00|0|00000001||
05A6|2|00|0|00000001||
05A7|0|00|0|00000001||
05A8|0|00|0|00000001||
05A9|0|00|0|00000001||
05AA|0|00|0|00000001||
05AB|2|00|0|00000001||
05AC|0|00|0|00000001||
05AD|0|00|0|00000001||
05AE|0|00|0|00000001||
05AF|0|00|0|00000001||
05B0|2|00|0|00000001||
05B1|0|00|0|00000001||
05B2|0|00|0|00000001||
05B3|0|00|0|00000001||
05B4|0|00|0|00000001||
05B5|0|00|0|00000001||
05B6|0|00|0|00000001||
05B7|0|00|0|00000001||
05B8|0|00|0|00000001||
05B9|0|00|0|00000001||
05BA|0|00|0|00000001|SnowHown05BA|related to riding SnowHorn
05BB|0|00|0|00000001|SnowHown05BB|related to riding SnowHorn
05BC|0|00|0|00000001||
05BD|2|00|0|00000001|HaveOpenPortal|
05BE|0|00|0|00000001||
05BF|0|00|0|00000001||
05C0|0|00|0|00000001||
05C1|0|00|0|00000001||
05C2|0|00|0|00000001||
05C3|0|00|0|00000001||
05C4|0|00|0|00000001||
05C5|0|00|0|00000001||
05C6|0|00|0|00000001||
05C7|0|00|0|00000001||
05C8|0|00|0|00000001||
05C9|0|00|0|00000001||
05CA|0|00|0|00000001||
05CB|0|00|0|00000001||
05CC|0|00|0|00000001||
05CD|0|00|0|00000001||
05CE|2|3A|1|00000001|HaveIceBlast|
05CF|0|00|0|00000001||
05D0|1|00|0|0000000F||
05D1|3|00|0|FFFFFFFF||
05D2|2|00|0|00000001||
05D3|0|00|0|00000001||
05D4|2|00|0|00000001||
05D5|2|00|0|00000001||
05D6|2|00|0|0000001F|NumFirefliesNotShown|
05D7|0|00|0|00000001||
05D8|0|00|0|00000001||
05D9|0|00|0|00000001||
05DA|0|00|0|00000001||
05DB|3|00|0|FFFFFFFF||
05DC|3|00|0|FFFFFFFF||
05DD|0|00|0|00000001||
05DE|0|00|0|00000001||
05DF|2|00|0|00000001||
05E0|0|00|0|00000001||
05E1|0|00|0|00000001||
05E2|0|00|0|00000001||
05E3|2|00|0|00000001||
05E4|0|00|0|00000001||
05E5|0|00|0|00000001||
05E6|3|00|0|000000FF||
05E7|0|00|0|00000001||
05E8|2|00|0|00000001||
05E9|0|00|0|00000001||
05EA|2|00|0|00000001||
05EB|2|00|0|00000001||
05EC|2|00|0|00000001||
05ED|2|00|0|00000001||
05EE|0|00|0|00000001||
05EF|0|00|0|00000001||
05F0|2|00|0|00000001||
05F1|2|00|0|00000001||
05F2|2|00|0|00000001||
05F3|2|62|1|00000001||
05F4|2|A1|1|00000001||
05F5|2|00|0|00000001||
05F6|2|00|0|00000001||
05F7|2|00|0|00000001||
05F8|2|00|0|00000001||
05F9|0|00|0|00000001||
05FA|0|00|0|00000001||
05FB|0|00|0|00000001||
05FC|2|00|0|00000001||
05FD|0|00|0|00000001||
05FE|0|00|0|00000001||
05FF|0|00|0|00000001||
0600|2|00|0|00000001||
0601|3|00|0|FFFFFFFF||
0602|2|00|0|00000001||
0603|2|00|0|00000001||
0604|2|00|0|00000001||
0605|2|00|0|00000001||
0606|0|00|0|00000001||
0607|0|00|0|00000001||
0608|0|00|0|00000001||
0609|2|95|1|00000001||
060A|2|00|0|00000001||
060B|0|00|0|00000001||
060C|0|00|0|00000001||
060D|2|00|0|00000001||
060E|0|00|0|00000001||
060F|0|00|0|00000001||
0610|0|00|0|00000001||
0611|2|00|0|00000001||
0612|2|00|0|00000001||
0613|2|00|0|00000001||
0614|3|00|0|000000FF||
0615|2|00|0|00000001||
0616|2|00|0|00000001||
0617|0|00|0|00000001||
0618|0|00|0|00000001||
0619|0|00|0|00000001||
061A|0|00|0|00000001||
061B|0|00|0|00000001||
061C|2|69|1|00000001||
061D|0|00|0|00000001||
061E|2|00|0|00000001||
061F|2|00|0|00000001||
0620|0|00|0|00000001||
0621|2|00|0|00000001||
0622|2|00|0|00000001||
0623|2|00|0|00000001||
0624|0|00|0|00000001||
0625|0|00|0|00000001||
0626|0|00|0|00000001||
0627|2|00|0|00000001||
0628|0|00|0|00000001||
0629|2|00|0|00000001||
062A|1|00|0|00000001||
062B|1|00|0|00000001||
062C|1|00|0|00000001||
062D|1|00|0|00000001||
062E|0|00|0|00000001||
062F|1|00|0|00000001||
0630|1|00|0|00000001||
0631|1|00|0|00000001||
0632|2|93|1|00000001||
0633|3|00|0|000000FF||
0634|0|00|0|00000001||
0635|0|00|0|00000001||
0636|2|00|0|00000001||
0637|2|00|0|00000001||
0638|2|00|0|00000001||
0639|2|00|0|00000001||
063A|0|00|0|00000001||
063B|2|00|0|00000001||
063C|2|81|1|00000001||
063D|2|00|0|00000001||
063E|2|00|0|00000001||
063F|2|00|0|00000001||
0640|0|00|0|00000001||
0641|2|00|0|00000001||
0642|0|00|0|00000001||
0643|2|00|0|00000001||
0644|0|00|0|00000001||
0645|0|00|0|00000001||
0646|0|00|0|00000001||
0647|2|00|0|00000001||
0648|0|00|0|00000001||
0649|0|00|0|00000001||
064A|0|00|0|00000001||
064B|0|00|0|00000001||
064C|0|00|0|00000001||
064D|0|00|0|00000001||
064E|0|00|0|00000001||
064F|0|00|0|00000001||
0650|0|00|0|00000001||
0651|2|00|0|00000001||
0652|2|00|0|00000001||
0653|0|00|0|00000001||
0654|0|00|0|00000001||
0655|0|00|0|00000001||
0656|0|00|0|00000001||
0657|0|00|0|00000001||
0658|2|00|0|00000001||
0659|2|00|0|00000001||
065A|2|00|0|00000001||
065B|0|00|0|00000001||
065C|0|00|0|00000001||
065D|0|00|0|00000001||
065E|2|00|0|00000001||
065F|0|00|0|00000001||
0660|0|00|0|00000001||
0661|1|00|0|00000001||
0662|1|00|0|00000001||
0663|1|00|0|00000001||
0664|2|00|0|00000001||
0665|1|00|0|00000001||
0666|1|00|0|00000001||
0667|1|00|0|00000001||
0668|1|00|0|00000001||
0669|1|00|0|00000001||
066A|0|00|0|00000001||
066B|0|00|0|00000001||
066C|2|00|0|00000007|NumBombSpores|
066D|2|00|0|00000007||
066E|0|00|0|00000001||
066F|0|00|0|00000001||
0670|0|00|0|00000001||
0671|0|00|0|00000001||
0672|0|00|0|00000001||
0673|0|00|0|00000001||
0674|0|00|0|00000001||
0675|0|00|0|00000001||
0676|1|00|0|00000001||
0677|0|00|0|00000001||
0678|0|00|0|00000001||
0679|0|00|0|00000001||
067A|0|00|0|00000001||
067B|0|00|0|00000001||
067C|0|00|0|00000001||
067D|0|00|0|00000001||
067E|0|00|0|00000001||
067F|1|00|0|00000001||
0680|0|00|0|00000001||
0681|2|00|0|00000001||
0682|0|00|0|00000001||
0683|1|00|0|00000007||
0684|2|00|0|00000001||
0685|2|00|0|00000001||
0686|2|00|0|00000001||
0687|1|00|0|00000001||
0688|1|00|0|00000001||
0689|1|00|0|00000001||
068A|1|00|0|00000001||
068B|1|00|0|00000001||
068C|1|00|0|00000001||
068D|1|00|0|00000001||
068E|1|00|0|00000001||
068F|1|00|0|00000001||
0690|1|00|0|00000001||
0691|1|00|0|00000001||
0692|1|00|0|00000001||
0693|1|00|0|00000001||
0694|1|00|0|00000001||
0695|1|00|0|00000001||
0696|1|00|0|00000001||
0697|2|00|0|00000001||
0698|0|00|0|00000007||
0699|2|00|0|00000001||
069A|2|00|0|00000001||
069B|2|00|0|00000001||
069C|2|00|0|00000001||
069D|2|00|0|00000001||
069E|2|00|0|00000001||
069F|2|00|0|00000001||
06A0|2|00|0|00000001||
06A1|2|00|0|00000001||
06A2|2|00|0|00000001||
06A3|2|00|0|00000001||
06A4|2|00|0|00000001||
06A5|2|00|0|00000001||
06A6|2|00|0|00000001||
06A7|2|00|0|00000001||
06A8|2|00|0|00000001||
06A9|2|00|0|00000001||
06AA|2|00|0|00000001||
06AB|2|00|0|00000001||
06AC|2|00|0|00000001||
06AD|2|00|0|00000001||
06AE|2|00|0|00000001||
06AF|2|00|0|00000001||
06B0|2|00|0|00000001||
06B1|2|00|0|00000001||
06B2|2|00|0|00000001||
06B3|2|00|0|00000001||
06B4|2|00|0|00000001||
06B5|2|00|0|00000001||
06B6|2|00|0|00000001||
06B7|2|00|0|00000001||
06B8|2|00|0|00000001||
06B9|2|00|0|00000001||
06BA|2|00|0|00000001||
06BB|2|00|0|00000001||
06BC|2|00|0|00000001||
06BD|2|00|0|00000001||
06BE|2|00|0|00000001||
06BF|2|00|0|00000001||
06C0|2|00|0|00000001||
06C1|2|00|0|00000001||
06C2|2|00|0|00000001||
06C3|2|00|0|00000001||
06C4|2|00|0|00000001||
06C5|2|00|0|00000001||
06C6|2|00|0|00000001||
06C7|2|00|0|00000001||
06C8|2|00|0|00000001||
06C9|2|00|0|00000001||
06CA|2|00|0|00000001||
06CB|2|00|0|00000001||
06CC|2|00|0|00000001||
06CD|2|00|0|00000001||
06CE|2|00|0|00000001||
06CF|2|00|0|00000001||
06D0|2|00|0|00000001||
06D1|2|00|0|00000001||
06D2|2|00|0|00000001||
06D3|2|00|0|00000001||
06D4|2|00|0|00000001||
06D5|2|00|0|00000001||
06D6|2|00|0|00000001||
06D7|2|00|0|00000001||
06D8|2|00|0|00000001||
06D9|2|00|0|00000001||
06DA|2|00|0|00000001||
06DB|2|00|0|00000001||
06DC|2|00|0|00000001||
06DD|2|00|0|00000001||
06DE|2|00|0|00000001||
06DF|2|00|0|00000001||
06E0|2|00|0|00000001||
06E1|2|00|0|00000001||
06E2|2|00|0|00000001||
06E3|2|00|0|00000001||
06E4|2|00|0|00000001||
06E5|2|00|0|00000001||
06E6|2|00|0|00000001||
06E7|2|00|0|00000001||
06E8|2|00|0|00000001||
06E9|2|00|0|00000001||
06EA|2|00|0|00000001||
06EB|2|00|0|00000001||
06EC|2|00|0|00000001||
06ED|2|00|0|00000001||
06EE|2|00|0|00000001||
06EF|2|00|0|00000001||
06F0|2|00|0|00000001||
06F1|2|00|0|00000001||
06F2|2|00|0|00000001||
06F3|2|00|0|00000001||
06F4|2|00|0|00000001||
06F5|2|00|0|00000001||
06F6|2|00|0|00000001||
06F7|2|00|0|00000001||
06F8|2|00|0|00000001||
06F9|2|00|0|00000001||
06FA|2|00|0|00000001||
06FB|2|00|0|00000001||
06FC|2|00|0|00000001||
06FD|2|00|0|00000001||
06FE|2|00|0|00000001||
06FF|2|00|0|00000001||
0700|2|00|0|00000001||
0701|2|00|0|00000001||
0702|2|00|0|00000001||
0703|2|00|0|00000001||
0704|2|00|0|00000001||
0705|2|00|0|00000001||
0706|2|00|0|00000001||
0707|2|00|0|00000001||
0708|2|00|0|00000001||
0709|2|00|0|00000001||
070A|2|00|0|00000001||
070B|2|00|0|00000001||
070C|2|00|0|00000001||
070D|2|00|0|00000001||
070E|2|00|0|00000001||
070F|2|00|0|00000001||
0710|2|00|0|00000001||
0711|2|00|0|00000001||
0712|2|00|0|00000001||
0713|2|00|0|00000001||
0714|2|00|0|00000001||
0715|2|00|0|00000001||
0716|2|00|0|00000001||
0717|2|00|0|00000001||
0718|2|00|0|00000001||
0719|2|00|0|00000001||
071A|2|00|0|00000001||
071B|2|00|0|00000001||
071C|2|00|0|00000001||
071D|2|00|0|00000001||
071E|2|00|0|00000001||
071F|2|00|0|00000001||
0720|2|00|0|00000001||
0721|2|00|0|00000001||
0722|2|00|0|00000001||
0723|2|00|0|00000001||
0724|2|00|0|00000001||
0725|2|00|0|00000001||
0726|2|00|0|00000001||
0727|2|00|0|00000001||
0728|2|00|0|00000001||
0729|2|00|0|00000001||
072A|2|00|0|00000001||
072B|2|00|0|00000001||
072C|2|00|0|00000001||
072D|2|00|0|00000001||
072E|2|00|0|00000001||
072F|2|00|0|00000001||
0730|2|00|0|00000001||
0731|2|00|0|00000001||
0732|2|00|0|00000001||
0733|2|00|0|00000001||
0734|2|00|0|00000001||
0735|2|00|0|00000001||
0736|2|00|0|00000001||
0737|2|00|0|00000001||
0738|2|00|0|00000001||
0739|2|00|0|00000001||
073A|2|00|0|00000001||
073B|2|00|0|00000001||
073C|2|00|0|00000001||
073D|2|00|0|00000001||
073E|2|00|0|00000001||
073F|2|00|0|00000001||
0740|2|00|0|00000001||
0741|2|00|0|00000001||
0742|2|00|0|00000001||
0743|2|00|0|00000001||
0744|2|00|0|00000001||
0745|2|00|0|00000001||
0746|2|00|0|00000001||
0747|2|00|0|00000001||
0748|2|00|0|00000001||
0749|2|00|0|00000001||
